City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,hilo,19.7297,-155.09,301.64,82,40,3.6,US,1669944506
302,kayerkan,69.3497,87.7602,255.54,97,100,3.58,RU,1669944590
303,kununurra,-15.7667,128.7333,307.14,36,64,2.57,AU,1669944590
304,tutoia,-2.7619,-42.2744,299.74,80,59,6.5,BR,1669944590
305,port hedland,-20.3167,118.5667,305.18,58,67,5.66,AU,1669944591
306,bairiki,1.3292,172.9752,303.15,70,40,6.17,KI,1669944591
307,panindicuaro,19.9667,-101.7667,291.72,51,99,0.49,MX,1669944591
308,pisco,-13.7,-76.2167,292.18,82,0,5.14,PE,1669944592
309,vostok,46.4856,135.8833,253.36,84,86,3.51,RU,1669944592
310,thompson,55.7435,-97.8558,241.24,75,20,1.03,CA,1669944360
311,arcoverde,-8.4189,-37.0539,294.91,79,100,3.01,BR,1669944593
312,manitouwadge,49.1215,-85.8403,267.81,89,100,3.88,CA,1669944593
313,shimanovsk,52.0,127.7,248.32,86,27,1.5,RU,1669944593
314,kathmandu,27.7167,85.3167,281.27,93,20,1.54,NP,1669944479
315,ignacio zaragoza,28.3833,-107.2167,282.96,42,5,3.11,MX,1669944594
316,roald,62.5833,6.1333,277.78,80,0,4.63,NO,1669944594
317,meulaboh,4.1363,96.1285,297.33,91,100,1.46,ID,1669944595
318,caravelas,-17.7125,-39.2481,296.88,92,99,4.15,BR,1669944595
319,kahului,20.8947,-156.47,300.16,76,40,7.2,US,1669944595
320,xingyi,24.1877,102.817,285.26,92,100,1.76,CN,1669944596
321,olafsvik,64.8945,-23.7142,279.13,79,95,10.81,IS,1669944596
322,ahipara,-35.1667,173.1667,291.28,67,100,4.82,NZ,1669944596
323,peoria,40.7667,-89.7668,274.74,65,0,6.19,US,1669944317
324,henties bay,-22.116,14.2845,288.61,94,16,2.8,NA,1669944597
325,padang,-0.9492,100.3543,298.18,93,100,1.19,ID,1669944597
326,palana,59.1167,159.9667,261.7,83,9,4.34,RU,1669944598
327,kemijarvi,66.7131,27.4306,266.65,98,94,1.02,FI,1669944598
328,bengkulu,-3.8004,102.2655,298.22,86,100,1.47,ID,1669944599
329,thinadhoo,0.5333,72.9333,300.26,70,4,2.65,MV,1669944599
330,sisimiut,66.9395,-53.6735,260.33,78,99,6.91,GL,1669944599
331,innisfail,-17.5333,146.0333,301.61,56,36,4.41,AU,1669944600
332,puerto del rosario,28.5004,-13.8627,293.01,77,0,4.12,ES,1669944600
333,batemans bay,-35.7167,150.1833,292.09,62,76,3.09,AU,1669944600
334,marsa matruh,31.3525,27.2453,285.26,71,0,0.0,EG,1669944601
335,cherskiy,68.75,161.3,242.25,100,51,1.69,RU,1669944601
336,sidney,-33.8679,151.2073,296.42,60,75,5.66,AU,1669944414
337,maragogi,-9.0122,-35.2225,298.51,79,94,4.64,BR,1669944602
338,podosinovets,60.2776,47.0659,261.77,98,100,1.07,RU,1669944602
339,dubbo,-32.25,148.6167,297.22,38,0,5.66,AU,1669944602
340,west odessa,31.8424,-102.4988,285.16,57,0,4.12,US,1669944603
341,sulangan,11.1373,123.7228,301.19,79,100,7.18,PH,1669944603
342,aasiaat,68.7098,-52.8699,254.09,99,87,6.16,GL,1669944604
343,inuvik,68.3499,-133.7218,254.63,84,75,2.06,CA,1669944604
344,poplar bluff,36.757,-90.3929,276.0,67,0,1.54,US,1669944604
345,musoma,-1.5,33.8,292.5,83,79,2.61,TZ,1669944605
346,taoudenni,22.6783,-3.9836,290.71,13,5,0.43,ML,1669944605
347,san policarpo,12.1791,125.5072,300.85,83,100,7.24,PH,1669944606
348,gari,59.4307,62.3497,249.66,99,20,1.29,RU,1669944606
349,yar-sale,66.8333,70.8333,252.97,91,15,4.44,RU,1669944607
350,egvekinot,66.3167,-179.1667,271.76,99,100,4.66,RU,1669944607
351,salym,60.0625,71.4789,246.62,96,19,1.07,RU,1669944607
352,san quintin,30.4833,-115.95,287.7,66,95,4.09,MX,1669944608
353,condado,21.8767,-79.8403,297.03,79,58,5.75,CU,1669944608
354,marzuq,14.4,46.4667,288.56,47,0,0.92,YE,1669944609
355,mehamn,71.0357,27.8492,274.12,100,100,3.09,NO,1669944609
356,luau,-10.7073,22.2247,290.38,98,100,2.08,AO,1669944609
357,tabas,33.5959,56.9244,284.26,53,6,3.11,IR,1669944610
358,camacha,33.0833,-16.3333,289.83,77,20,7.2,PT,1669944610
359,pacific grove,36.6177,-121.9166,282.21,90,100,3.09,US,1669944611
360,livingston,55.9029,-3.5226,281.4,96,100,1.54,GB,1669944611
361,atikokan,48.7555,-91.6216,267.23,80,100,3.72,CA,1669944611
362,coihaique,-45.5752,-72.0662,284.12,66,75,2.06,CL,1669944612
363,ternate,0.8,127.4,301.71,70,97,1.12,ID,1669944612
364,severnyy,50.677,36.5532,267.17,68,0,6.0,RU,1669944613
